,aid,bvid,title,typeid,section,sub-section,date,time,length,play,comment,danmaku,favorite,coin,share,like,typename,his_rank
88,83627509,BV1eJ41177Tb,于敏逝世一周年：我过去学的所有东西都可以抛掉，全力以赴搞出氢弹,96.0,科技,星海,2020-01-16 03:23:28,1579145008,00:57,363315,1361.0,2093,5825,10109,1390,55066,星海-科技,0
89,83636827,BV1BJ41177mM,【缅怀于敏 · 生前采访】两弹一星功勋科学家 于敏,96.0,科技,星海,2020-01-16 04:47:46,1579150066,24:00,73365,88.0,8,1867,2586,701,24073,星海-科技,0
90,83691638,BV19J41177QD,【中国有故事 第18集】我家有座“争气桥”,37.0,纪录片,人文历史,2020-01-16 11:02:49,1579172569,04:00,82538,577.0,288,460,2037,511,13821,人文历史-纪录片,0
91,84104587,BV1x7411q7R4,【吃鸡技巧】解放军教你甩狙，守株待兔，一石二鸟,96.0,科技,星海,2020-01-19 07:21:07,1579418467,03:37,1204483,3581.0,4816,12805,5190,8458,77749,星海-科技,71
92,84129670,BV1y7411q7T3,【王菲X那英】中国女排《夺冠》片尾曲,184.0,影视,预告 资讯,2020-01-19 10:05:01,1579428301,05:25,131163,1258.0,523,987,1208,850,16676,预告 资讯-影视,0
93,84212847,BV177411v7PM,“习大大，彭麻麻呢？”“没来。快过年了都在家里忙着呢！”,21.0,生活,日常,2020-01-20 00:40:12,1579480812,00:13,2565864,0.0,0,27147,32336,11495,267166,日常-生活,6
94,84230689,BV1s7411v755,【喀什地震】铁路值班员不跑，拿起喊停列车,21.0,生活,日常,2020-01-20 04:17:09,1579493829,00:19,559462,1304.0,672,2203,7557,975,61081,日常-生活,0
95,84281160,BV1S7411v7JB,【协和医院】当医生们开始唱歌,31.0,音乐,翻唱,2020-01-20 10:07:44,1579514864,04:28,284832,1702.0,1236,6235,9530,2671,38255,翻唱-音乐,0
96,84382271,BV1H7411i7cm,习近平向全国人民拜年！,21.0,生活,日常,2020-01-21 04:41:04,1579581664,01:29,381734,0.0,0,3268,8345,1937,66066,日常-生活,0
97,84400778,BV1L7411i78t,【成长启示录⑥】令人心疼！7岁女童遭虐待，自曝曾被奶奶用老虎钳夹手……,37.0,纪录片,人文历史,2020-01-21 07:50:35,1579593035,36:01,146776,789.0,2240,1077,1770,703,17502,人文历史-纪录片,0
98,84669588,BV1Z7411e7u2,牛津大学国乐宣传演讲：让世界认识中国民族乐器,39.0,科技,演讲· 公开课,2020-01-23 09:59:57,1579773597,14:02,145814,487.0,600,1175,2149,500,21375,演讲· 公开课-科技,0
99,84656702,BV1R7411e7Ff,春节，一起来捏面人吧,21.0,生活,日常,2020-01-24 02:02:09,1579831329,00:39,71808,526.0,82,110,432,330,13877,日常-生活,0
100,84802804,BV1d7411a7zJ,【团团有话说】今年春节你在哪儿过年？,21.0,生活,日常,2020-01-24 03:01:05,1579834865,02:19,72801,1217.0,207,154,1090,349,12478,日常-生活,0
101,84679977,BV1b7411a7F4,2019年梗回顾！这些你们都还记得吗？【梗百科·春节特别节目】,27.0,动画,综合,2020-01-24 04:00:14,1579838414,08:40,420097,1286.0,4736,8163,14658,1255,48265,综合-动画,0
102,84840743,BV1J7411Y7qs,【基建狂魔】不是游戏，是武汉版“小汤山”建造瞬间,96.0,科技,星海,2020-01-24 08:02:12,1579852932,00:13,1228332,4573.0,1858,2726,3690,2119,52516,星海-科技,79
103,84843309,BV1J7411Y7uS,【首席流行病专家曾光】面对它，不要怕！,96.0,科技,星海,2020-01-24 08:40:58,1579855258,12:01,416521,3550.0,2348,4036,9287,11125,40363,星海-科技,0
104,84912540,BV167411Y7za,武汉挺住，大年三十，解放军来了！,21.0,生活,日常,2020-01-24 17:16:44,1579886204,00:16,1072562,4959.0,2699,3979,6045,2453,84958,日常-生活,63
105,85132596,BV1X7411k7Eo,【真哏儿！天津人防疫打快板】做好防疫筑平安,138.0,生活,搞笑,2020-01-26 11:36:19,1580038579,03:13,153922,1293.0,460,2003,2362,3249,24448,搞笑-生活,0
106,85146207,BV1d7411k7kC,天津快板，为逆行者点赞！,96.0,科技,星海,2020-01-26 12:55:29,1580043329,02:28,158988,1199.0,700,1349,2587,1215,32471,星海-科技,0
107,85165972,BV1A7411C7uf,与时间赛跑！武汉火神山医院第一间病房建成,96.0,科技,星海,2020-01-26 14:33:22,1580049202,00:12,822708,1762.0,396,1084,2055,1289,40561,星海-科技,0
108,85179336,BV1K7411C78u,【快板·李少杰】病毒是个大圆脸，疙里疙瘩凸起像皇冠,138.0,生活,搞笑,2020-01-26 16:07:17,1580054837,03:22,147962,429.0,161,458,937,787,18111,搞笑-生活,0
109,85286739,BV1m74116775,哪有什么基建狂魔，全是朴实善良的劳动者,96.0,科技,星海,2020-01-27 11:25:44,1580124344,00:37,695746,2886.0,2803,4009,9243,1845,80248,星海-科技,0
110,85289169,BV1U741167YK,【节瑞】鼠年贺岁曲【肥皂菌、云雀、墨雨晨、冬子、少年霜、小时姑娘、傅小司_Taboo、Braska、宁采臣】,28.0,音乐,原创音乐,2020-01-27 11:47:01,1580125621,05:17,95232,488.0,505,2281,3124,838,17635,原创音乐-音乐,0
111,85454560,BV1z7411r7Ko,习近平：我相信，我们一定会战胜这一次疫情！,96.0,科技,星海,2020-01-28 12:25:40,1580214340,01:52,386845,34.0,0,2162,5785,1695,55255,星海-科技,0
112,85497778,BV1p7411z7NU,【仁心】献给前线抗击肺炎的医护人员们的一首歌！,28.0,音乐,原创音乐,2020-01-29 02:00:40,1580263240,04:01,143725,877.0,962,4128,8523,1630,33325,原创音乐-音乐,0
113,85568881,BV1C7411z7An,【Lao乾妈、双笙】2020同心同行 防疫知识小科普,28.0,音乐,原创音乐,2020-01-29 07:30:18,1580283018,03:21,107199,768.0,699,1604,3457,1474,18364,原创音乐-音乐,0
114,85538292,BV1v7411z7K3,【排骨教主】与共 - 武汉加油，中国加油！,31.0,音乐,翻唱,2020-01-29 08:00:45,1580284845,03:31,320662,2103.0,4805,9995,19308,3081,47289,翻唱-音乐,0
115,85542896,BV1x7411z7Ci,【凉风辟谣】开局一张图，内容全靠编！别再信谣传谣啦！,124.0,科技,趣味科普人文,2020-01-29 14:00:57,1580306457,07:46,3736888,24769.0,37952,69134,230153,39087,449409,趣味科普人文-科技,3
116,85695455,BV1p741167GG,【天府事变】武汉加油！我们在一起,28.0,音乐,原创音乐,2020-01-30 06:30:44,1580365844,02:57,264510,1153.0,3079,7640,12457,2595,34344,原创音乐-音乐,0
117,85736649,BV197411q7FE,【张大哥保重】金银潭医院院长回应身患渐冻症：坦然面对,96.0,科技,星海,2020-01-30 07:37:05,1580369825,01:00,312597,1010.0,1198,1793,4137,1044,41091,星海-科技,0
118,85924266,BV1Q7411B7se,省委书记照样被拦下，村口大爷有多敬业！,21.0,生活,日常,2020-01-31 09:36:22,1580463382,00:11,878197,4278.0,420,2308,4284,2804,51305,日常-生活,0
119,85968079,BV1d7411B7jP,三地交警接力，护送武汉医生上一线,96.0,科技,星海,2020-01-31 12:40:39,1580474439,00:58,381881,1479.0,847,2533,4208,904,41084,星海-科技,0
120,86060127,BV1K7411x7ZP,【武汉加油】祖娅纳惜、HITA、柏凝、Braska、李蚊香、冥月月、玄觞、小爱的妈、小时姑娘、妖扬、龟仙人龟娘、流浪的蛙蛙,28.0,音乐,原创音乐,2020-02-01 08:09:31,1580544571,04:23,222056,1960.0,3445,7731,14252,2611,35583,原创音乐-音乐,0
121,86262688,BV1J7411W7py,【解放军来了！】军队1400人承担火神山救治任务,96.0,科技,星海,2020-02-02 05:50:19,1580622619,02:11,522379,3492.0,2594,3804,5698,2382,46908,星海-科技,0
122,86461696,BV1E7411s7mW,火  神  山,96.0,科技,星海,2020-02-03 10:00:32,1580724032,05:21,647093,2415.0,5717,11268,29070,3606,58594,星海-科技,91
123,86516544,BV1K7411p727,李显龙：因疫情排华是错误心态，这不是一个国籍甚至是种族的问题,21.0,生活,日常,2020-02-03 10:05:10,1580724310,04:15,261397,1266.0,539,724,926,649,25494,日常-生活,0
124,86571147,BV1G7411p7FY,【武汉】待你重新按下播放键，来一碗热干面，飚一句“我信了你的邪！”,85.0,影视,短片,2020-02-03 14:59:00,1580741940,02:03,432054,2972.0,739,10243,8281,4923,50745,短片-影视,0
